Specific Service component (colloquial name),top level service,type name CF,cf_property_desc,Pattern in CF registry?,Regex from registry,registry explanation,Our own regex,Alternative regex,URL documentation,Rule in plain English,Validation error text,URL AWS console,Regex copied from external page:,Is tag?,Inserted by,can be deleted?
S3 bucket name ,S3,AWS::S3::Bucket,"BucketName
",yes but wrong,,,"(?!(^xn--|.+-s3alias$))^[a-z0-9][a-z0-9-]{1,61}[a-z0-9]$","(?!(^((2(5[0-5]|[0-4][0-9])|[01]?[0-9]{1,2})\.){3}(2(5[0-5]|[0-4][0-9])|[01]?[0-9]{1,2})$|^xn--|.+-s3alias$))^[a-z0-9][a-z0-9.-]{1,61}[a-z0-9]$ 
",https://docs.aws.amazon.com/AmazonS3/latest/userguide/bucketnamingrules.html,,,,https://stackoverflow.com/questions/50480924/regex-for-s3-bucket-name,,simeon,FALSE
Lambda function,Lambda,AWS::Lambda::Function,FunctionName,no,,,"^[a-zA-Z0-9-_]{1,64}",,,"Use only letters, numbers, hyphens, or underscores with no spaces.","The function name can contain only letters, numbers, hyphens, and underscores.",https://eu-central-1.console.aws.amazon.com/lambda/home?region=eu-central-1#/create/function?firstrun=true,,,simeon,
IAM user,IAM,"AWS::IAM::User
",UserName,no,no,,"^[a-zA-Z0-9+=,\.@_-]{1,64}",,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_users_create.html?icmpid=docs_iam_console AND https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-quotas.html,"User names can be a combination of up to 64 letters, digits, and these characters: plus (+), equal (=), comma (,), period (.), at sign (@), underscore (_), and hyphen (-). Names must be unique within an account. They are not distinguished by case. For example, you cannot create two users named TESTUSER and testuser.","Invalid name. User names can contain alphanumeric characters, or any of the following: _+=,.@-",https://us-east-1.console.aws.amazon.com/iam/home#/users$new?step=details,,,simeon,
CloudFormation stack,,AWS::CloudFormation::StackSet,"StackSetName
",yes,"^[a-zA-Z][a-zA-Z0-9\\-]{0,127}$",,,,,"Stack name can include letters (A-Z and a-z), numbers (0-9), and dashes (-).","Stack name must contain only letters, numbers, dashes. Must start with a letter.",https://eu-central-1.console.aws.amazon.com/cloudformation/home?region=eu-central-1#/stacks/create,,,simeon,
ECS cluster,,"AWS::ECS::Cluster
","ClusterName
",no,,,"^[a-zA-Z0-9_-]{1,255}$",,,"There can be a maximum of 255 characters. The valid characters are letters (uppercase and lowercase), numbers, hyphens, and underscores.",,,,,gabriel,
Elastic Beanstalk,,"AWS::ElasticBeanstalk::Application
","ApplicationName
",no,,,"^[^\/]{1,100}$",,,"Up to 100 Unicode characters, not including forward slash (/)",,,,,gabriel,
Batch Job Definition,,AWS::Batch::JobDefinition,"JobDefinitionName
",no,,,"^[a-zA-Z0-9_-]{1,128}$",,,"Up to 128 letters (uppercase and lowercase), numbers, hyphens, and underscores are allowed",,,,,gabriel,
Batch Job Queue,,AWS::Batch::JobQueue,"JobQueueName
",no,,,"^[a-zA-Z0-9_-]{1,128}$",,,"Up to 128 letters (uppercase and lowercase), numbers, hyphens, and underscores are allowed",,,,,gabriel,
Batch Compute Environments,,AWS::Batch::ComputeEnvironment,"ComputeEnvironmentName
",no,,,"^[a-zA-Z0-9_-]{1,128}$",,,"Up to 128 letters (uppercase and lowercase), numbers, hyphens, and underscores are allowed",,,,,gabriel,
Batch scheduling policy,,AWS::Batch::SchedulingPolicy,"Name
",no,,,"^[a-zA-Z0-9_-]{1,128}$",,,"Up to 128 letters (uppercase and lowercase), numbers, hyphens, and underscores are allowed",,,,,gabriel,
